City_ID,City,Country,Date,Longitude,Lattitude,MaxTemp,Humidity,WindSpeed,Cloudiness
32723,Garmsar,IR,1563762224,52.34,35.22,82.37,22,4.23,0
57000,Hobyo,SO,1563762231,48.53,5.35,74.99,70,19.37,11
72181,Marzuq,YE,1563762104,46.47,14.4,77.15,38,6.33,100
98182,Baghdad,IQ,1563762225,44.38,33.3,80.6,44,5.82,0
104515,Mecca,SA,1563761947,39.83,21.43,81.65,47,7.54,0
107304,Buraydah,SA,1563762113,43.97,26.33,78.8,29,5.82,0
108410,Riyadh,SA,1563761866,46.72,24.63,82.4,13,2.24,0
110690,Faya,SA,1563762150,42.45,18.39,71.6,20,7.54,0
115019,Shiraz,IR,1563761973,52.54,29.61,78.8,16,4.7,0
135423,Shahrud,IR,1563762221,54.97,36.42,67.61,27,4.76,52
146639,Lasa,CY,1563762187,32.53,34.92,75.2,73,9.17,0
150436,Rulenge,TZ,1563762206,30.63,-2.72,60.95,64,2.01,12
161974,Gazanjyk,TM,1563762145,55.52,39.24,92.09,16,21.09,0
178443,Wajir,KE,1563762225,40.07,1.75,72.65,61,15.26,97
212902,Kindu,CD,1563762119,25.92,-2.95,69.23,81,1.5,67
216281,Kabare,RW,1563762188,29.38,-1.65,52.85,95,1.86,25
229362,Masindi,UG,1563762232,31.72,1.69,62.39,98,3.29,84
230893,Kitgum,UG,1563762120,32.88,3.3,64.91,95,2.21,100
233346,Gulu,UG,1563762099,32.3,2.77,62.93,93,2.91,91
240604,Bambari,CF,1563762182,20.68,5.77,67.61,95,2.08,94
240999,Alindao,CF,1563762187,21.21,5.04,65.63,95,3.49,82
245785,Abeche,TD,1563762174,20.83,13.83,74.27,74,15.5,100
258175,Lixourion,GR,1563762122,20.43,38.2,77,78,14.76,0
260895,Karpathos,GR,1563762207,27.21,35.51,75.2,78,28.86,0
262462,Saint George,GR,1563762135,22.34,39.45,77,68,3.36,0
286621,Salalah,OM,1563762200,54.1,17.01,78.8,94,5.82,90
292968,Abu Dhabi,AE,1563762020,54.37,24.47,93.2,75,1.12,78
320533,Bucak,TR,1563762187,30.59,37.46,84.2,59,5.82,0
333795,Jijiga,ET,1563762195,42.8,9.35,58.07,89,12.57,88
336454,Ginir,ET,1563762145,40.71,7.14,56.99,90,8.21,75
338345,Edd,ER,1563762216,41.69,13.93,85.79,39,0.81,70
344979,Lebu,ET,1563762133,38.73,8.96,54.29,88,0.27,98
352733,Marsa Matruh,EG,1563762159,27.25,31.35,75.2,78,5.82,0
359783,Asyut,EG,1563762131,31.19,27.18,78.8,50,8.05,0
362973,Abnub,EG,1563762160,31.15,27.27,78.8,50,8.05,0
364933,Umm Kaddadah,SD,1563762112,26.69,13.6,82.19,58,13.98,95
373141,Kaduqli,SD,1563762146,29.72,11.01,72.65,89,3.53,100
376332,Doka,SD,1563762104,35.76,13.52,71.03,85,12.19,100
390054,Baft,IR,1563762236,56.61,29.23,67.61,20,9.04,0
417594,Shahreza,IR,1563762171,51.87,32.01,69.41,27,1.25,0
458460,Kuldiga,LV,1563762202,21.96,56.97,62.6,100,3.36,90
470905,Vuktyl,RU,1563762218,57.31,63.86,59.69,96,13.6,100
